postal_code,lat,lng
M9A1Z5,37.6056575,-82.3243095
M9A1Z6,37.6056575,-82.3243095
M9A1Z7,37.6056575,-82.3243095
M9A1Z8,37.6056575,-82.3243095
M9A1Z9,37.6056575,-82.3243095
M9A2A1,37.6056575,-82.3243095
M9A2A2,37.6056575,-82.3243095
M9A2A3,37.6056575,-82.3243095
M9A2A4,37.6056575,-82.3243095
M9A2A5,37.6056575,-82.3243095
M9A2A6,37.6056575,-82.3243095
M9A2A7,37.6056575,-82.3243095
M9A2A8,37.6056575,-82.3243095
M9A2A9,37.6056575,-82.3243095
M9A2B1,37.6056575,-82.3243095
M9A2B2,37.6056575,-82.3243095
M9A2B3,37.6056575,-82.3243095
M9A2B4,37.6056575,-82.3243095
M9A2B5,37.6056575,-82.3243095
M9A2B6,37.6056575,-82.3243095
M9A2B7,37.6056575,-82.3243095
M9A2B8,37.6056575,-82.3243095
M9A2B9,37.6056575,-82.3243095
M9A2C1,37.6056575,-82.3243095
M9A2C2,37.6056575,-82.3243095
M9A2C3,37.6056575,-82.3243095
M9A2C4,37.6056575,-82.3243095
M9A2C5,37.6056575,-82.3243095
M9A2C6,37.6056575,-82.3243095
M9A2C7,37.6056575,-82.3243095
M9A2C8,37.6056575,-82.3243095
M9A2C9,37.6056575,-82.3243095
M9A2E1,37.6056575,-82.3243095
M9A2E2,37.6056575,-82.3243095
M9A2E3,37.6056575,-82.3243095
M9A2E5,37.6056575,-82.3243095
M9A2E6,37.6056575,-82.3243095
M9A2E7,37.6056575,-82.3243095
M9A2E8,37.6056575,-82.3243095
M9A2E9,37.6056575,-82.3243095
M9A2G1,37.6056575,-82.3243095
M9A2G2,37.6056575,-82.3243095
M9A2G3,37.6056575,-82.3243095
M9A2G4,37.6056575,-82.3243095
M9A2G5,37.6056575,-82.3243095
M9A2G6,37.6056575,-82.3243095
M9A2G7,37.6056575,-82.3243095
M9A2G8,37.6056575,-82.3243095
M9A2G9,43.647785,-79.5334912
M9A2H1,37.6056575,-82.3243095
M9A2H2,37.6056575,-82.3243095
M9A2H3,37.6056575,-82.3243095
M9A2H4,37.6056575,-82.3243095
M9A2H5,43.6469337,-79.5261284
M9A2H8,37.6056575,-82.3243095
M9A2J2,37.6056575,-82.3243095
M9A2J4,37.6056575,-82.3243095
M9A2J6,37.6056575,-82.3243095
M9A2J7,37.6056575,-82.3243095
M9A2J8,37.6056575,-82.3243095
M9A2J9,43.6602434,-79.5354491
M9A2K1,37.6056575,-82.3243095
M9A2K2,37.6056575,-82.3243095
M9A2K3,37.6056575,-82.3243095
M9A2K4,37.6056575,-82.3243095
M9A2K5,37.6056575,-82.3243095
M9A2K6,37.6056575,-82.3243095
M9A2K8,37.6056575,-82.3243095
M9A2K9,37.6056575,-82.3243095
M9A2L1,37.6056575,-82.3243095
M9A2L2,37.6056575,-82.3243095
M9A2L3,37.6056575,-82.3243095
M9A2L4,37.6056575,-82.3243095
M9A2L5,37.6056575,-82.3243095
M9A2L6,37.6056575,-82.3243095
M9A2L7,37.6056575,-82.3243095
M9A2L8,37.6056575,-82.3243095
M9A2L9,37.6056575,-82.3243095
M9A2M1,37.6056575,-82.3243095
M9A2M2,37.6056575,-82.3243095
M9A2M3,37.6056575,-82.3243095
M9A2M4,37.6056575,-82.3243095
M9A2M5,37.6056575,-82.3243095
M9A2M6,37.6056575,-82.3243095
M9A2M7,37.6056575,-82.3243095
M9A2M8,37.6056575,-82.3243095
M9A2M9,37.6056575,-82.3243095
M9A2N1,37.6056575,-82.3243095
M9A2N2,37.6056575,-82.3243095
M9A2N4,37.6056575,-82.3243095
M9A2N5,37.6056575,-82.3243095
M9A2N6,37.6056575,-82.3243095
M9A2N7,37.6056575,-82.3243095
M9A2N8,37.6056575,-82.3243095
M9A2N9,37.6056575,-82.3243095
M9A2P1,37.6056575,-82.3243095
M9A2P2,37.6056575,-82.3243095
M9A2P3,37.6056575,-82.3243095
M9A2P4,37.6056575,-82.3243095
M9A2P5,37.6056575,-82.3243095
M9A2P6,37.6056575,-82.3243095
M9A2P8,37.6056575,-82.3243095
M9A2P9,37.6056575,-82.3243095
M9A2R1,37.6056575,-82.3243095
M9A2R2,37.6056575,-82.3243095
M9A2R4,37.6056575,-82.3243095
M9A2R5,37.6056575,-82.3243095
M9A2R6,37.6056575,-82.3243095
M9A2R7,37.6056575,-82.3243095
M9A2R8,37.6056575,-82.3243095
M9A2R9,37.6056575,-82.3243095
M9A2S1,37.6056575,-82.3243095
M9A2S2,37.6056575,-82.3243095
M9A2S3,37.6056575,-82.3243095
M9A2S4,37.6056575,-82.3243095
M9A2S5,37.6056575,-82.3243095
M9A2S7,37.6056575,-82.3243095
M9A2S8,37.6056575,-82.3243095
M9A2S9,37.6056575,-82.3243095
M9A2T1,37.6056575,-82.3243095
M9A2T2,37.6056575,-82.3243095
M9A2T3,37.6056575,-82.3243095
M9A2T4,37.6056575,-82.3243095
M9A2T5,37.6056575,-82.3243095
M9A2T6,37.6056575,-82.3243095
M9A2T7,37.6056575,-82.3243095
M9A2T8,37.6056575,-82.3243095
M9A2T9,37.6056575,-82.3243095
M9A2V1,37.6056575,-82.3243095
M9A2V2,37.6056575,-82.3243095
M9A2V4,37.6056575,-82.3243095
M9A2V5,37.6056575,-82.3243095
M9A2V6,37.6056575,-82.3243095
